what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1341625637323
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1341625637324
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1341625637324
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1341625637325
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1341625637325
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1341625637327
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1341625637327
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1341625637328
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.core",1341625637328
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1341625637328
os,sysinfo,,,"win32",1341625637330
arch,sysinfo,,,"x86_64",1341625637330
ws,sysinfo,,,"win32",1341625637330
locale,sysinfo,,,"en_US",1341625637330
processors,sysinfo,,,"8",1341625637330
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1341625637330
java.runtime.version,sysinfo,,,"1.6.0_32-b05",1341625637330
java.specification.name,sysinfo,,,"Java Platform API Specification",1341625637330
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1341625637330
java.specification.version,sysinfo,,,"1.6",1341625637330
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1341625637330
java.version,sysinfo,,,"1.6.0_32",1341625637330
java.vm.info,sysinfo,,,"mixed mode",1341625637330
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1341625637330
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1341625637330
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1341625637330
java.vm.specification.version,sysinfo,,,"1.0",1341625637330
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1341625637330
java.vm.version,sysinfo,,,"20.7-b02",1341625637330
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1341625637333
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1341625638394
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341625638634
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341625643461
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341625651232
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341625652344
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341625652444
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1341625652554
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1341625652621
stopped,bundle,org.eclipse.m2e.discovery,1.0.0.20110607-2117,"org.eclipse.m2e.discovery",1341625652622
stopped,bundle,org.eclipse.m2e.refactoring,1.0.0.20110607-2117,"org.eclipse.m2e.refactoring",1341625652623
stopped,bundle,org.eclipse.m2e.editor,1.0.0.20110607-2117,"org.eclipse.m2e.editor",1341625652623
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.0.20110607-2117,"org.eclipse.m2e.editor.xml",1341625652624
stopped,bundle,org.eclipse.m2e.jdt,1.0.0.20110607-2117,"org.eclipse.m2e.jdt",1341625652624
stopped,bundle,org.eclipse.m2e.launching,1.0.0.20110607-2117,"org.eclipse.m2e.launching",1341625652625
stopped,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1341625652625
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1341625652625
stopped,bundle,org.eclipse.help.ui,3.5.100.v20110425,"org.eclipse.help.ui",1341625652626
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1341625652626
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.0.I20110525-0742,"org.eclipse.epp.mpc.ui",1341625652626
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1341625652626
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1341625652627
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1341625652628
stopped,bundle,org.eclipse.help.base,3.6.0.v201106131736,"org.eclipse.help.base",1341625652629
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1341625951475
started,bundle,org.eclipse.osgi,3.7.0.v20110613,"org.eclipse.osgi",1341625951476
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1341625951476
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1341625951477
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1341625951477
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1341625951477
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1341625951478
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1341625951478
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1341625951479
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1341625951479
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1341625951479
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1341625951480
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1341625951480
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1341625951480
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1341625951481
