what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1341627793181
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1341627793182
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1341627793182
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1341627793182
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1341627793183
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1341627793184
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1341627793184
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1341627793185
started,bundle,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.adt",1341627793185
started,bundle,com.android.ide.eclipse.base,20.0.0.v201206242043-391819,"com.android.ide.eclipse.base",1341627793185
os,sysinfo,,,"win32",1341627793188
arch,sysinfo,,,"x86_64",1341627793188
ws,sysinfo,,,"win32",1341627793188
locale,sysinfo,,,"en_US",1341627793188
processors,sysinfo,,,"8",1341627793188
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1341627793188
java.runtime.version,sysinfo,,,"1.6.0_32-b05",1341627793188
java.specification.name,sysinfo,,,"Java Platform API Specification",1341627793188
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1341627793188
java.specification.version,sysinfo,,,"1.6",1341627793188
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1341627793188
java.version,sysinfo,,,"1.6.0_32",1341627793188
java.vm.info,sysinfo,,,"mixed mode",1341627793188
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1341627793188
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1341627793188
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1341627793188
java.vm.specification.version,sysinfo,,,"1.0",1341627793188
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1341627793188
java.vm.version,sysinfo,,,"20.7-b02",1341627793188
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341627798400
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341627927604
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1341627932605
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341627944959
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341627977012
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341627981859
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341628077902
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1341628079306
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341628079327
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341628081443
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341628086375
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341628099719
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1341628099723
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341628104145
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341628129506
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341628130952
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341628132360
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341628134399
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341628201308
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341628206114
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341628234310
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341628236190
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341628670491
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341628672243
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341628682099
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341628696729
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341628754993
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341628756085
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341661506538
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341661511020
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341661524741
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341661529062
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341662060361
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341662073390
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341662632486
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341662634107
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341662668273
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1341662668340
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1341662668397
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1341662668430
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341662673600
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341662759574
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341662759674
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1341662759782
stopped,bundle,org.eclipse.mtj.jmunit,1.0.1.201101310801,"org.eclipse.mtj.jmunit",1341662759859
stopped,bundle,jmunit.framework,1.2.1.201101310801,"jmunit.framework",1341662759860
stopped,bundle,org.eclipse.mtj.toolkit.cinterion,1.0.0.201101310801,"org.eclipse.mtj.toolkit.cinterion",1341662759866
stopped,bundle,org.eclipse.mtj.toolkit.microemu,1.0.0.201101310801,"org.eclipse.mtj.toolkit.microemu",1341662759875
stopped,bundle,org.eclipse.mtj.toolkit.mpowerplayer,1.0.0.201101310801,"org.eclipse.mtj.toolkit.mpowerplayer",1341662759883
stopped,bundle,org.eclipse.mtj.toolkit.nokia,1.0.0.201101310801,"org.eclipse.mtj.toolkit.nokia",1341662759889
